Name,Mean Views,Mean Likes,Mean Comments,Release Date,price,Positive Reviews,Category,Name_Cleaned,Total Streams18,Total Viewers18,Clip Count,Clip Views,Clip Duration,Total Streams19,Total Viewers19,Streamer Count,Total Followers,Total Streams23,Total Viewers23,Avg followers,Avg clip views,Avg clip duration,Total Streams11,Total Viewers11
MiSide,2057321,86679,2633,10/12/2024,12.79,0.98,simulation,MiSide,183,3173,994,983762,22748,186,2492,1000,18654,144,3594,18,989,22,68,29118
Farming Simulator 25,983462,20919,385,12/11/2024,42.42,0.83,simulation,Farming Simulator 25,232,2488,999,221715,30082,277,2735,4,12,191,2028,3,221,30,140,2213
Prehistoric Kingdom,232490,8280,612,27/04/2022,5.86,0.86,simulation,Prehistoric Kingdom,1,3,887,11135,24564,0,0,4,1862,0,0,465,12,27,1,1
Stardew Valley,6289577,289710,3326,26/02/2016,10.99,0.98,simulation,Stardew Valley,194,2751,1098,2473004,34315,220,1699,311,1036,209,2062,3,2252,31,79,488
American Truck Simulator,6855417,159447,2713,02/02/2016,106.13,0.96,simulation,American Truck Simulator,59,325,1000,858520,28567,65,368,16,31,93,570,1,858,28,22,150
Hell Let Loose,2206195,83167,1434,27/07/2021,49.99,0.79,simulation,Hell Let Loose,134,7263,994,1286805,28584,159,9591,38,1937,174,1029,50,1294,28,61,374
Sons Of The Forest,4464608,195067,2534,22/02/2024,24.99,0.9,simulation,Sons Of The Forest,140,667,992,2168830,26594,138,617,0,0,147,3020,0,2186,26,40,215
Football Manager 2024,719442,13876,514,06/11/2023,44.99,0.89,simulation,Football Manager 2024,46,761,1000,275742,29374,54,733,2,1,61,554,0,275,29,26,151
NBA 2K25,2113773,90906,622,28/10/2024,59.99,0.62,simulation,NBA 2K25,1004,5634,1000,1363794,25667,1048,5081,1000,3079,1550,5739,3,1363,25,464,2289
Europa Universalis IV,892993,17966,988,13/08/2013,41.99,0.86,simulation,Europa Universalis IV,9,543,997,801543,28316,12,526,3,0,11,718,0,803,28,6,1302
World of Warships,4411194,65549,2409,15/11/2017,0,0.77,simulation,World of Warships,103,4043,999,1532926,33959,108,4188,242,349756,83,2388,1445,1534,33,67,1867
Reus 2,351428,8643,220,28/05/2024,12.04,0.94,simulation,Reus 2,0,0,839,3643,26576,1,5,576,207,1,34,0,4,31,0,0
Le Mans Ultimate,169867,5433,228,20/02/2024,28.99,0.78,simulation,Le Mans Ultimate,17,88,1095,125554,32391,21,79,1,7,15,82,7,114,29,10,119
Train Sim World® 5,152445,2787,219,17/09/2024,39.99,0.84,simulation,Train Sim World 5,5,6,746,3632,22145,8,17,0,0,5,7,0,4,29,6,9
Manor Lords,1144683,32704,937,26/04/2024,34.99,0.82,simulation,Manor Lords,15,549,998,186002,28860,20,262,16,43,17,182,2,186,28,8,123
Forza Horizon 5,34621158,1143116,5841,08/11/2021,49.99,0.88,simulation,Forza Horizon 5,132,553,994,1518440,26400,135,785,129,205,145,1215,1,1527,26,58,192
RimWorld,1708841,50214,1262,17/10/2018,28.49,0.96,simulation,RimWorld,65,1275,998,2382777,32017,64,1451,346,845,48,844,2,2387,32,35,971
VRChat,13333154,632057,7839,01/02/2017,0,0.77,simulation,VRChat,91,4715,0,0,0,93,4372,974,46110,187,6296,47,0,0,44,1475
Euro Truck Simulator 2 - Greece,2961912,64734,485,04/12/2024,9.99,0.82,simulation,Euro Truck Simulator 2 - Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SnowRunner,2249823,37162,773,17/05/2021,123.15,0.91,simulation,SnowRunner,92,584,996,680093,30324,193,1221,426,1420,83,400,3,682,30,40,236
Cities: Skylines II,2343218,82502,1529,24/10/2023,41.99,0.48,simulation,Cities: Skylines II,12,890,995,517735,28477,13,943,0,0,14,143,0,520,28,7,29
Tower! Simulator 3,1978102,65511,1515,13/12/2022,419.17,0.73,simulation,Tower! Simulator 3,0,0,106,734,3026,0,0,0,0,0,0,0,6,28,0,0
Tiny Glade,673729,38920,520,23/09/2024,12.79,0.96,simulation,Tiny Glade,3,12,1099,32961,29443,5,50,38,53,5,24,1,29,26,2,4
Planet Zoo,5227252,93697,2952,05/11/2019,34.99,0.92,simulation,Planet Zoo,8,93,997,402485,27298,10,116,369,2115,17,191,5,403,27,8,55
BeamNG.drive,108245781,1389496,2226,29/05/2015,19.2,0.96,racing,BeamNG.drive,21,87,982,1025062,25499,20,91,125,224,14,74,1,1043,25,7,11
Le Mans Ultimate,169867,5433,228,20/02/2024,28.99,0.78,racing,Le Mans Ultimate,16,87,1095,125554,32377,21,74,1,7,15,82,7,114,29,9,118
Forza Horizon 5,36126589,1190637,5409,08/11/2021,49.99,0.88,racing,Forza Horizon 5,132,553,994,1518440,26400,125,773,129,205,144,1215,1,1527,26,52,186
SnowRunner,2249825,37162,773,17/05/2021,123.15,0.91,racing,SnowRunner,91,583,996,680093,30324,95,548,426,1425,83,401,3,682,30,39,236
Motor Town: Behind The Wheel,191908,7670,186,17/12/2021,16.75,0.92,racing,Motor Town: Behind The Wheel,1,1,940,7697,25918,2,3,0,0,3,13,0,8,27,4,11
Car Mechanic Simulator 2021,1002175,20783,497,11/08/2021,2021,0.96,racing,Car Mechanic Simulator 2021,16,60,999,57015,27637,12,20,0,0,15,72,0,57,27,8,9
My Summer Car,4477377,127853,3123,08/01/2025,10.99,0.93,racing,My Summer Car,33,1734,996,1827129,29377,28,3572,110,73,22,1857,0,1834,29,10,148
Assetto Corsa,10174235,238694,3918,19/12/2014,15.49,0.92,racing,Assetto Corsa,61,181,997,1391823,27706,66,222,134,1095,61,429,8,1396,27,31,130
MX Bikes,8336214,118735,1370,07/10/2019,29.5,0.95,racing,MX Bikes,6,16,1000,101535,20211,8,27,225,188,12,160,0,101,20,5,42
Aerofly FS 4 Flight Simulator,585878,6982,405,04/07/2022,44.99,0.87,racing,Aerofly FS 4 Flight Simulator,0,0,28,172,797,0,0,0,0,0,0,0,6,28,0,0
Assetto Corsa Competizione,529577,13983,931,29/05/2019,34.99,0.91,racing,Assetto Corsa Competizione,56,209,1096,1010082,30034,69,579,0,0,49,221,0,921,27,52,628
Sonic Adventure 2,8510646,164847,5348,19/11/2012,6.99,0.9,racing,Sonic Adventure 2,3,18,1000,102440,26340,4,16,29,7,2,18,0,102,26,1,43
F1® 24,5349287,117288,4158,31/05/2024,59.99,0.76,racing,F1 24,130,787,998,393503,26554,263,1082,339,609,145,1737,1,394,26,50,728
Automobilista 2,116482,4089,349,31/03/2020,34.99,0.89,racing,Automobilista 2,7,147,999,69091,28612,13,178,5,18,6,25,3,69,28,7,31
The Long Drive,4594541,107460,4351,25/09/2019,13.49,0.86,racing,The Long Drive,9,59,990,3169247,28693,13,74,15,51,13,220,3,3201,28,4,12
RealFlight Evolution,140043,1208,142,27/10/2022,66.57,0.89,racing,RealFlight Evolution,0,0,10,248,256,0,0,0,0,0,0,0,24,25,0,0
CarX Drift Racing Online,1840748,43145,1455,17/11/2017,12.79,0.92,racing,CarX Drift Racing Online,34,110,999,222494,27563,47,164,0,0,75,311,0,222,27,22,103
Brick Rigs,9921488,78504,1784,14/07/2023,15.89,0.96,racing,Brick Rigs,0,0,929,15512,24303,1,1,45,494,0,0,10,16,26,0,0
Automation - The Car Company Tycoon Game,219144,5129,352,12/03/2015,24.99,0.94,racing,Automation - The Car Company Tycoon Game,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liftoff®: FPV Drone Racing,666459,10531,449,13/09/2018,16.99,0.93,racing,Liftoff: FPV Drone Racing,1,1,994,14506,30759,0,0,0,0,0,0,0,14,30,0,0
